Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Protein digestion and absorption	10/90	1.5949765829494954e-07	2.615761596037172e-05	0	0	10.420550847457626	163.09450677801792	DPP4;COL1A1;COL15A1;COL3A1;COL1A2;COL5A1;FXYD2;COL6A3;ATP1B2;SLC8A2
KEGG_2019_Human	ECM-receptor interaction	6/82	0.0005228207219926922	0.0428712992034007	0	0	6.473026315789474	48.91194711973871	COL1A1;RELN;COL1A2;LAMA4;COL6A3;THBS2
KEGG_2019_Human	Focal adhesion	9/199	0.000826322227028254	0.0451722817442112	0	0	3.910193204530313	27.75660716998473	COL1A1;PDGFRA;SHC2;COL1A2;RELN;SHC3;LAMA4;COL6A3;THBS2
KEGG_2019_Human	Calcium signaling pathway	8/188	0.002335248939293	0.095745206511015	0	0	3.6552754435107375	22.149641523744577	CAMK2B;PDGFRA;CACNA1I;AVPR1B;PDE1A;BDKRB2;BDKRB1;SLC8A2
KEGG_2019_Human	Proteoglycans in cancer	8/201	0.0035169923722339	0.1153573498092736	0	0	3.4068010623938694	19.24893393721336	CAMK2B;WNT6;WNT11;LUM;MMP2;TWIST2;TIMP3;DCN
KEGG_2019_Human	Relaxin signaling pathway	6/130	0.0054733967955865	0.136709440706792	0	0	3.957661290322581	20.610929577863192	COL1A1;SHC2;COL3A1;SHC3;COL1A2;MMP2
KEGG_2019_Human	Steroid hormone biosynthesis	4/60	0.006354523248121	0.136709440706792	0	0	5.81404958677686	29.410883779950225	AKR1C1;AKR1C3;AKR1C2;CYP7B1
KEGG_2019_Human	Amoebiasis	5/96	0.0066687532052093	0.136709440706792	0	0	4.482923715288861	22.4608929391211	COL1A1;COL3A1;COL1A2;LAMA4;RAB7B
KEGG_2019_Human	Aldosterone-regulated sodium reabsorption	3/37	0.010495592690177	0.1912530223543372	0	0	7.160493827160494	32.62893722422809	FXYD2;SCNN1A;ATP1B2
KEGG_2019_Human	Glioma	4/75	0.0137383578737349	0.2253090691292528	0	0	4.58223722500291	19.64663313664885	CAMK2B;PDGFRA;SHC2;SHC3
KEGG_2019_Human	Complement and coagulation cascades	4/79	0.0163532630387822	0.2438122853054801	0	0	4.336969696969697	17.839378140761806	C1S;BDKRB2;BDKRB1;MASP1
KEGG_2019_Human	Nitrogen metabolism	2/17	0.0181453105583523	0.2454657516567059	0	0	10.786338797814208	43.24613328239535	CA12;CA9
KEGG_2019_Human	Endocrine and other factor-regulated calcium reabsorption	3/48	0.021174898736831	0.2454657516567059	0	0	5.407133058984911	20.84416713755184	FXYD2;BDKRB2;ATP1B2
KEGG_2019_Human	Insulin secretion	4/86	0.0216376838077877	0.2454657516567059	0	0	3.9653295706510794	15.200372643742655	CAMK2B;FXYD2;ATP1B2;KCNN3
KEGG_2019_Human	Pantothenate and CoA biosynthesis	2/19	0.0224511358222596	0.2454657516567059	0	0	9.51639344262295	36.12816998649114	VNN2;ENPP3
KEGG_2019_Human	Mineral absorption	3/51	0.024823623621494	0.2542638858934627	0	0	5.068415637860082	18.73265899679814	HEPH;FXYD2;ATP1B2
KEGG_2019_Human	Estrogen signaling pathway	5/137	0.0273010973428245	0.2542638858934627	0	0	3.0840563309442977	11.10515756781543	SHC2;SHC3;KRT17;KRT16;MMP2
KEGG_2019_Human	Proximal tubule bicarbonate reclamation	2/23	0.0321691437779432	0.2542638858934627	0	0	7.702185792349726	26.47046817945856	FXYD2;ATP1B2
KEGG_2019_Human	Aldosterone synthesis and secretion	4/98	0.0328884691481608	0.2542638858934627	0	0	3.4570072094250044	11.804411467089402	CAMK2B;CACNA1I;ATP1B2;KCNK3
KEGG_2019_Human	Adrenergic signaling in cardiomyocytes	5/145	0.0336927851737131	0.2542638858934627	0	0	2.906639004149377	9.854876862318465	CAMK2B;FXYD2;ATP1B2;SCN4B;CACNG4
KEGG_2019_Human	AGE-RAGE signaling pathway in diabetic complications	4/100	0.0350399519708803	0.2542638858934627	0	0	3.384641873278237	11.342836530472548	COL1A1;COL3A1;COL1A2;MMP2
KEGG_2019_Human	Breast cancer	5/147	0.0354240367020059	0.2542638858934627	0	0	2.8654082169364736	9.57150841991494	WNT6;SHC2;SHC3;WNT11;FGF9
KEGG_2019_Human	Phospholipase D signaling pathway	5/148	0.0363099156076728	0.2542638858934627	0	0	2.845225314104982	9.433812334532895	PDGFRA;SHC2;SHC3;GRM4;AVPR1B
KEGG_2019_Human	Gastric cancer	5/149	0.0372093491551408	0.2542638858934627	0	0	2.8253227293683727	9.298688684186478	WNT6;SHC2;SHC3;WNT11;FGF9
KEGG_2019_Human	Arachidonic acid metabolism	3/63	0.0425637139840833	0.2705526438496979	0	0	4.052263374485597	12.79199526561383	EPHX2;AKR1C3;GGT1
KEGG_2019_Human	Cushing syndrome	5/155	0.042892492317635	0.2705526438496979	0	0	2.7114799446749656	8.538608893101987	CAMK2B;CACNA1I;WNT6;WNT11;KCNK3
KEGG_2019_Human	Human papillomavirus infection	8/330	0.0520875790592828	0.3163838135452735	0	0	2.028498355864085	5.99386529048164	COL1A1;WNT6;COL1A2;RELN;WNT11;LAMA4;COL6A3;THBS2
KEGG_2019_Human	cGMP-PKG signaling pathway	5/166	0.054600458258026	0.3198026840827238	0	0	2.524806061699441	7.341411416319089	FXYD2;PDE3A;BDKRB2;ATP1B2;SLC8A2
KEGG_2019_Human	Bile secretion	3/72	0.0590607493496886	0.3339987204603084	0	0	3.5220969762032563	9.964677017532434	FXYD2;SCTR;ATP1B2
KEGG_2019_Human	Gastric acid secretion	3/75	0.0651355090466861	0.3560741161218845	0	0	3.37482853223594	9.217619980645052	CAMK2B;KCNJ16;ATP1B2
KEGG_2019_Human	Cardiac muscle contraction	3/78	0.0714853224124765	0.3692270069933703	0	0	3.239341563786008	8.546235417422942	FXYD2;ATP1B2;CACNG4
KEGG_2019_Human	PI3K-Akt signaling pathway	8/354	0.0720442940474868	0.3692270069933703	0	0	1.8854616991305195	4.959658267951867	COL1A1;PDGFRA;COL1A2;RELN;FGF9;LAMA4;COL6A3;THBS2
KEGG_2019_Human	Taste transduction	3/83	0.0826562141644277	0.4107763370595803	0	0	3.036111111111111	7.569223170126784	GRM4;PDE1A;SCNN1A
KEGG_2019_Human	ErbB signaling pathway	3/85	0.0873224851753415	0.417697180329862	0	0	2.9617585064739536	7.221203467764944	CAMK2B;SHC2;SHC3
KEGG_2019_Human	Porphyrin and chlorophyll metabolism	2/42	0.0941865154223699	0.417697180329862	0	0	4.039754098360656	9.543831217081134	HEPH;CP
KEGG_2019_Human	Riboflavin metabolism	1/8	0.0942819863760005	0.417697180329862	0	0	11.514285714285714	27.190584236877303	ENPP3
KEGG_2019_Human	Type I diabetes mellitus	2/43	0.0980103485297106	0.417697180329862	0	0	3.9410235905637743	9.153745377651202	PTPRN;CPE
KEGG_2019_Human	TGF-beta signaling pathway	3/90	0.0994582801815477	0.417697180329862	0	0	2.790832978572442	6.441290007277452	SMAD6;HAMP;DCN
KEGG_2019_Human	Salivary secretion	3/90	0.0994582801815477	0.417697180329862	0	0	2.790832978572442	6.441290007277452	DMBT1;FXYD2;ATP1B2
KEGG_2019_Human	Carbohydrate digestion and absorption	2/44	0.1018773610560639	0.417697180329862	0	0	3.8469945355191255	8.78647985957473	FXYD2;ATP1B2
KEGG_2019_Human	ABC transporters	2/45	0.1057859231298192	0.423143692519277	0	0	3.757338924895158	8.44025252997521	ABCA1;ABCG1
KEGG_2019_Human	Pathways in cancer	10/530	0.1200243787946783	0.4381627435477237	0	0	1.5673076923076923	3.322786973408069	CAMK2B;PDGFRA;WNT6;CXCL12;WNT11;FGF9;MMP2;LAMA4;BDKRB2;BDKRB1
KEGG_2019_Human	Pancreatic secretion	3/98	0.1201766304502568	0.4381627435477237	0	0	2.554775828460039	5.413040370353519	FXYD2;SCTR;ATP1B2
KEGG_2019_Human	Neuroactive ligand-receptor interaction	7/338	0.1246499949231032	0.4381627435477237	0	0	1.7186540090255218	3.5786595930931124	GRID2;GRM4;AVPR1B;SCTR;BDKRB2;BDKRB1;GRIK2
KEGG_2019_Human	Regulation of actin cytoskeleton	5/214	0.1248772667250469	0.4381627435477237	0	0	1.9401814608191543	4.036399862461432	PDGFRA;CXCL12;FGF9;BDKRB2;BDKRB1
KEGG_2019_Human	Inflammatory mediator regulation of TRP channels	3/100	0.1255875097595958	0.4381627435477237	0	0	2.501845488099784	5.190710117207115	CAMK2B;BDKRB2;BDKRB1
KEGG_2019_Human	Taurine and hypotaurine metabolism	1/11	0.1273082141620835	0.4381627435477237	0	0	8.058775510204082	16.610298800727964	GGT1
KEGG_2019_Human	Melanogenesis	3/101	0.128325527860526	0.4381627435477237	0	0	2.4761904761904763	5.084077284193683	CAMK2B;WNT6;WNT11
KEGG_2019_Human	Wnt signaling pathway	4/158	0.1309144782551125	0.4381627435477237	0	0	2.103681442524418	4.277228263572352	CAMK2B;WNT6;SFRP1;WNT11
KEGG_2019_Human	Hepatocellular carcinoma	4/168	0.1532240063109186	0.499653373678609	0	0	1.974400322515622	3.703687403610084	WNT6;SHC2;SHC3;WNT11
KEGG_2019_Human	Pyrimidine metabolism	2/57	0.1553800125463967	0.499653373678609	0	0	2.935767511177348	5.466051125511757	CDA;ENPP3
KEGG_2019_Human	Cholinergic synapse	3/112	0.1597576239572093	0.5038509678650448	0	0	2.2250537999773474	4.080965528601235	CAMK2B;KCNJ4;CHAT
KEGG_2019_Human	Thyroid hormone signaling pathway	3/116	0.1717226768416409	0.5313682830571532	0	0	2.14585381842019	3.780725010397207	RCAN2;FXYD2;ATP1B2
KEGG_2019_Human	Neurotrophin signaling pathway	3/119	0.1808595548243063	0.5385108286280302	0	0	2.0900383141762453	3.5740376008046373	CAMK2B;SHC2;SHC3
KEGG_2019_Human	Basal cell carcinoma	2/63	0.1815750038958677	0.5385108286280302	0	0	2.6461972588013976	4.514641329697164	WNT6;WNT11
KEGG_2019_Human	Axon guidance	4/181	0.1841727282254229	0.5385108286280302	0	0	1.8281738805621703	3.093053057901716	CAMK2B;CXCL12;EPHB1;EPHA3
KEGG_2019_Human	Primary bile acid biosynthesis	1/17	0.1898054091674659	0.5385108286280302	0	0	5.035204081632653	8.367280059696222	CYP7B1
KEGG_2019_Human	Cortisol synthesis and secretion	2/65	0.1904489515879619	0.5385108286280302	0	0	2.561930783242259	4.24863194805351	CACNA1I;KCNK3
KEGG_2019_Human	Platelet activation	3/124	0.1963680931447404	0.5431661034255224	0	0	2.003162942556882	3.2606772347291844	COL1A1;COL3A1;COL1A2
KEGG_2019_Human	Staphylococcus aureus infection	2/68	0.2038638598708799	0.5431661034255224	0	0	2.445106805762544	3.88846034985665	C1S;MASP1
KEGG_2019_Human	Chemokine signaling pathway	4/190	0.2066991970035294	0.5431661034255224	0	0	1.7389140673598151	2.7413818503223952	SHC2;SHC3;CXCL12;CX3CL1
KEGG_2019_Human	Renin secretion	2/69	0.2083592285717007	0.5431661034255224	0	0	2.4084903352092	3.777696928084173	PDE1A;PDE3A
KEGG_2019_Human	Purine metabolism	3/129	0.2121869688100397	0.5431661034255224	0	0	1.92318244170096	2.9814856315677924	PDE1A;PDE3A;ENPP3
KEGG_2019_Human	Prolactin signaling pathway	2/70	0.2128648630199627	0.5431661034255224	0	0	2.372950819672131	3.671186898972919	SHC2;SHC3
KEGG_2019_Human	Dopaminergic synapse	3/131	0.2185912367444175	0.5431661034255224	0	0	1.8929398148148149	2.8783130278093245	CAMK2B;CALY;SCN1A
KEGG_2019_Human	Natural killer cell mediated cytotoxicity	3/131	0.2185912367444175	0.5431661034255224	0	0	1.8929398148148149	2.8783130278093245	SHC2;SHC3;KLRD1
KEGG_2019_Human	Melanoma	2/72	0.2219032386913187	0.5431661364981534	0	0	2.304918032786885	3.4700860304093117	PDGFRA;FGF9
KEGG_2019_Human	Thyroid hormone synthesis	2/74	0.230971814638027	0.5489764869657453	0	0	2.240664845173042	3.2836037863625385	FXYD2;ATP1B2
KEGG_2019_Human	Bacterial invasion of epithelial cells	2/74	0.230971814638027	0.5489764869657453	0	0	2.240664845173042	3.2836037863625385	SHC2;SHC3
KEGG_2019_Human	Chronic myeloid leukemia	2/76	0.2400637443212875	0.5624350581241594	0	0	2.1798848028356224	3.1103703520916333	SHC2;SHC3
KEGG_2019_Human	Vitamin digestion and absorption	1/24	0.2571059611071415	0.5938785580502989	0	0	3.50150842945874	4.755983276534011	TCN2
KEGG_2019_Human	cAMP signaling pathway	4/212	0.2646426771173598	0.6027972089895417	0	0	1.553242212333121	2.0648409794583205	CAMK2B;FXYD2;PDE3A;ATP1B2
KEGG_2019_Human	Folate biosynthesis	1/26	0.2752908737840587	0.6184616890491184	0	0	3.221061224489796	4.154933898359338	AKR1C3
KEGG_2019_Human	Phagosome	3/152	0.2877079836332563	0.6364424253465575	0	0	1.6244096445438727	2.02370457550815	COLEC12;RAB7B;THBS2
KEGG_2019_Human	Oxytocin signaling pathway	3/153	0.2910559872011696	0.6364424253465575	0	0	1.6134979423868312	1.991443110574842	CAMK2B;KCNJ4;CACNG4
KEGG_2019_Human	Morphine addiction	2/91	0.3083860436336617	0.6551604745017356	0	0	1.8111070178670103	2.130591534306556	PDE1A;PDE3A
KEGG_2019_Human	Nicotinate and nicotinamide metabolism	1/30	0.3103413436693897	0.6551604745017356	0	0	2.7762139338494016	3.2483992810296334	ENPP3
KEGG_2019_Human	GnRH signaling pathway	2/93	0.3174416040789933	0.6551604745017356	0	0	1.7711223203026485	2.032294500282973	CAMK2B;MMP2
KEGG_2019_Human	Mucin type O-glycan biosynthesis	1/31	0.3188368749405083	0.6551604745017356	0	0	2.6835374149659863	3.067486330759252	GALNT5
KEGG_2019_Human	Ras signaling pathway	4/232	0.3195904753667003	0.6551604745017356	0	0	1.415542989705669	1.6147309336104612	PDGFRA;SHC2;SHC3;FGF9
KEGG_2019_Human	Circadian entrainment	2/97	0.3354661447092182	0.6792154041026148	0	0	1.6962036238136324	1.85265167190398	CAMK2B;CACNA1I
KEGG_2019_Human	Starch and sucrose metabolism	1/36	0.3597762958965895	0.719552591793179	0	0	2.299591836734694	2.350810280006541	ENPP3
KEGG_2019_Human	African trypanosomiasis	1/37	0.3676652339194849	0.7237229300875444	0	0	2.2356009070294784	2.236903022200789	LAMA4
KEGG_2019_Human	Tuberculosis	3/179	0.3783022710206405	0.7237229300875444	0	0	1.3733164983164985	1.334948430602255	CAMK2B;CASP10;LSP1
KEGG_2019_Human	Ferroptosis	1/40	0.390755855617776	0.7237229300875444	0	0	2.0633176347462063	1.938842477418669	CP
