Geneid,RAW1,RAW1yuan,RAW2,RAW2yuan,RAW3,RAW3yuan
ENSMUSG00000102693,0,0,0,0,0,0
ENSMUSG00000064842,0,0,0,0,0,0
ENSMUSG00000051951,0,0,0,0,0,0
ENSMUSG00000102851,0,0,0,0,0,0
ENSMUSG00000103377,0,0,0,0,0,0
ENSMUSG00000104017,0,0,0,0,0,0
ENSMUSG00000103025,0,0,0,0,0,1
ENSMUSG00000089699,0,0,0,0,0,0
ENSMUSG00000103201,0,0,0,0,0,0
ENSMUSG00000103147,0,0,0,2,0,0
ENSMUSG00000103161,0,0,0,0,0,0
ENSMUSG00000102331,0,0,0,0,0,2
ENSMUSG00000102348,0,0,0,0,0,0
ENSMUSG00000102592,0,0,0,0,0,0
ENSMUSG00000088333,0,0,0,0,0,0
ENSMUSG00000102343,0,0,0,0,0,0
ENSMUSG00000025900,0,0,0,0,0,0
ENSMUSG00000102948,0,0,0,0,0,0
ENSMUSG00000104123,0,0,0,0,0,0
ENSMUSG00000025902,0,0,0,0,0,1
ENSMUSG00000104238,0,0,0,0,0,0
ENSMUSG00000102269,1,3,4,2,1,3
ENSMUSG00000118917,0,0,0,0,0,0
ENSMUSG00000103003,0,0,0,0,0,0
ENSMUSG00000104328,0,0,0,0,0,0
ENSMUSG00000102735,0,0,0,0,0,1
ENSMUSG00000098104,19,23,22,31,16,37
ENSMUSG00000102175,4,3,2,5,8,5
ENSMUSG00000103265,0,2,0,1,1,1
ENSMUSG00000103922,307,482,296,372,342,439
ENSMUSG00000033845,700,1089,745,1004,692,1119
ENSMUSG00000102275,19,31,31,26,24,22
ENSMUSG00000025903,639,561,575,668,555,715
ENSMUSG00000104217,0,0,0,0,0,0
ENSMUSG00000033813,572,533,537,621,489,646
ENSMUSG00000062588,237,317,219,334,222,363
ENSMUSG00000103280,6,4,3,2,4,7
ENSMUSG00000002459,38,11,50,15,56,26
ENSMUSG00000091305,0,0,0,0,0,0
ENSMUSG00000102653,0,0,0,0,0,0
ENSMUSG00000085623,0,0,0,0,4,1
ENSMUSG00000091665,0,0,0,0,0,0
ENSMUSG00000033793,1554,1381,1526,1592,1652,1619
ENSMUSG00000104352,0,0,0,0,0,0
ENSMUSG00000104046,0,0,0,0,0,0
ENSMUSG00000102907,0,0,0,0,0,0
ENSMUSG00000025905,0,0,0,0,0,0
ENSMUSG00000103936,0,0,0,0,0,0
ENSMUSG00000103519,0,0,0,0,0,0
ENSMUSG00000033774,0,0,0,0,0,0
ENSMUSG00000103090,0,0,0,0,0,0
ENSMUSG00000025907,836,420,724,459,726,495
ENSMUSG00000090031,20,16,26,5,20,13
ENSMUSG00000087247,1,2,0,0,0,0
ENSMUSG00000103355,5,5,9,6,7,4
ENSMUSG00000102706,1,0,0,0,0,0
ENSMUSG00000103845,62,38,60,42,56,41
ENSMUSG00000033740,338,415,293,417,332,462
ENSMUSG00000103329,2,2,2,0,2,1
ENSMUSG00000104385,0,0,0,0,0,0
ENSMUSG00000102135,55,52,70,48,58,64
ENSMUSG00000103282,0,0,0,0,0,0
ENSMUSG00000102534,0,0,0,3,0,0
ENSMUSG00000102213,0,0,0,0,0,0
ENSMUSG00000103629,0,0,0,0,0,0
ENSMUSG00000051285,348,143,343,165,298,181
ENSMUSG00000098201,0,0,1,0,0,1
ENSMUSG00000103509,30,18,52,13,33,12
ENSMUSG00000048538,15,21,9,18,20,25
ENSMUSG00000103709,0,0,0,0,0,0
ENSMUSG00000077244,0,0,0,0,0,0
ENSMUSG00000102768,0,0,0,0,0,0
ENSMUSG00000097797,5,16,10,17,10,11
ENSMUSG00000103498,0,0,0,0,0,0
ENSMUSG00000103067,0,0,0,0,0,0
ENSMUSG00000102320,0,0,0,0,0,0
ENSMUSG00000104226,1,0,0,2,0,1
ENSMUSG00000103903,0,0,0,0,0,0
ENSMUSG00000103557,0,0,0,0,0,0
ENSMUSG00000025909,7,28,6,37,7,29
ENSMUSG00000102647,0,0,0,0,0,0
ENSMUSG00000086235,1,2,1,0,0,0
ENSMUSG00000102253,0,0,0,0,0,0
ENSMUSG00000103884,0,0,0,0,0,0
ENSMUSG00000084353,470,630,388,681,391,680
ENSMUSG00000103933,4,3,1,10,5,3
ENSMUSG00000086195,0,0,0,0,0,0
ENSMUSG00000104504,0,0,0,0,0,1
