Geneid,SC2,SC2yuan,SC3,SC3yuan
ENSMUSG00000102693,0,0,0,0
ENSMUSG00000064842,0,0,0,0
ENSMUSG00000051951,0,0,0,0
ENSMUSG00000102851,0,0,0,0
ENSMUSG00000103377,0,0,0,0
ENSMUSG00000104017,0,0,0,0
ENSMUSG00000103025,0,0,0,0
ENSMUSG00000089699,0,0,0,0
ENSMUSG00000103201,0,0,0,0
ENSMUSG00000103147,0,56,0,97
ENSMUSG00000103161,0,0,0,0
ENSMUSG00000102331,0,0,0,0
ENSMUSG00000102348,0,0,0,0
ENSMUSG00000102592,0,0,0,0
ENSMUSG00000088333,0,0,0,0
ENSMUSG00000102343,0,0,0,0
ENSMUSG00000025900,2,1,0,0
ENSMUSG00000102948,0,43,0,27
ENSMUSG00000104123,0,0,0,0
ENSMUSG00000025902,0,0,0,0
ENSMUSG00000104238,0,0,0,0
ENSMUSG00000102269,3,25,4,22
ENSMUSG00000118917,0,1,0,1
ENSMUSG00000103003,0,0,0,0
ENSMUSG00000104328,0,0,0,0
ENSMUSG00000102735,0,12,0,13
ENSMUSG00000098104,35,148,40,125
ENSMUSG00000102175,3,74,4,91
ENSMUSG00000103265,0,0,1,0
ENSMUSG00000103922,348,175,447,169
ENSMUSG00000033845,791,298,808,372
ENSMUSG00000102275,24,1,30,5
ENSMUSG00000025903,594,105,510,144
ENSMUSG00000104217,0,0,0,0
ENSMUSG00000033813,569,205,464,238
ENSMUSG00000062588,289,35,245,46
ENSMUSG00000103280,3,0,3,0
ENSMUSG00000002459,48,1,35,5
ENSMUSG00000091305,0,0,0,0
ENSMUSG00000102653,0,0,0,0
ENSMUSG00000085623,0,0,0,0
ENSMUSG00000091665,0,0,0,0
ENSMUSG00000033793,1142,540,1060,729
ENSMUSG00000104352,0,0,0,0
ENSMUSG00000104046,0,0,0,0
ENSMUSG00000102907,0,0,0,0
ENSMUSG00000025905,0,0,0,0
ENSMUSG00000103936,0,0,0,0
ENSMUSG00000103519,0,0,0,0
ENSMUSG00000033774,0,0,0,0
ENSMUSG00000103090,0,0,0,0
ENSMUSG00000025907,642,621,657,702
ENSMUSG00000090031,25,0,20,14
ENSMUSG00000087247,0,0,0,0
ENSMUSG00000103355,10,41,8,55
ENSMUSG00000102706,0,1,0,9
ENSMUSG00000103845,51,99,65,126
ENSMUSG00000033740,434,13,415,18
ENSMUSG00000103329,5,0,3,0
ENSMUSG00000104385,0,0,0,0
ENSMUSG00000102135,54,14,48,9
ENSMUSG00000103282,0,0,0,0
ENSMUSG00000102534,0,0,0,0
ENSMUSG00000102213,0,0,0,0
ENSMUSG00000103629,0,21,1,9
ENSMUSG00000051285,366,461,399,545
ENSMUSG00000098201,0,4,0,8
ENSMUSG00000103509,57,2,45,1
ENSMUSG00000048538,5,6,10,16
ENSMUSG00000103709,0,2,0,0
ENSMUSG00000077244,0,0,0,0
ENSMUSG00000102768,0,0,0,0
ENSMUSG00000097797,3,0,5,0
ENSMUSG00000103498,0,0,0,0
ENSMUSG00000103067,0,0,1,0
ENSMUSG00000102320,0,0,0,1
ENSMUSG00000104226,1,45,1,61
ENSMUSG00000103903,0,6,0,2
ENSMUSG00000103557,0,0,0,0
ENSMUSG00000025909,3,1,1,0
ENSMUSG00000102647,0,0,0,0
ENSMUSG00000086235,2,7,1,10
ENSMUSG00000102253,0,0,0,0
ENSMUSG00000103884,0,0,0,0
ENSMUSG00000084353,430,60,417,65
ENSMUSG00000103933,5,11,11,6
ENSMUSG00000086195,0,21,0,15
ENSMUSG00000104504,0,7,0,19
ENSMUSG00000066693,0,14,0,13
ENSMUSG00000102316,0,0,0,0
ENSMUSG00000103819,0,0,0,0
ENSMUSG00000102871,0,0,0,0
ENSMUSG00000101571,0,2,0,1
ENSMUSG00000104428,0,0,0,0
ENSMUSG00000102272,0,34,0,37
ENSMUSG00000065625,0,0,0,0
ENSMUSG00000103411,1,0,0,0
ENSMUSG00000061024,1570,192,1696,275
ENSMUSG00000025911,249,13,244,4
ENSMUSG00000079671,124,5,126,4
ENSMUSG00000081441,26,15,39,22
ENSMUSG00000067879,7,2,9,2
ENSMUSG00000099827,0,0,0,0
ENSMUSG00000025912,578,65,507,133
ENSMUSG00000045210,1386,613,1479,772
ENSMUSG00000097893,2,0,3,0
ENSMUSG00000025915,831,82,715,81
ENSMUSG00000046334,54,94,69,109
ENSMUSG00000046101,1,2,3,10
ENSMUSG00000098234,357,12,331,13
ENSMUSG00000093178,1,0,0,1
ENSMUSG00000099032,0,0,0,0
ENSMUSG00000104025,0,0,0,0
ENSMUSG00000025916,0,0,0,0
ENSMUSG00000087199,0,0,0,0
ENSMUSG00000119658,0,0,0,0
ENSMUSG00000025917,1023,483,952,665
ENSMUSG00000056763,607,179,550,213
ENSMUSG00000102356,0,0,0,0
ENSMUSG00000067851,2344,1265,2336,1710
ENSMUSG00000102556,2,0,2,0
ENSMUSG00000042501,0,21,0,23
ENSMUSG00000103810,0,0,0,0
ENSMUSG00000083422,0,38,0,27
ENSMUSG00000119312,0,0,0,0
ENSMUSG00000081417,0,8,3,15
ENSMUSG00000103448,0,0,0,0
ENSMUSG00000100212,2,5,0,1
ENSMUSG00000100648,0,0,0,7
ENSMUSG00000048960,0,83,0,116
ENSMUSG00000077318,0,0,0,0
ENSMUSG00000101827,0,0,0,0
ENSMUSG00000103494,0,0,0,0
ENSMUSG00000057715,1,0,0,0
ENSMUSG00000103825,0,0,0,0
ENSMUSG00000099845,0,0,0,0
ENSMUSG00000103561,0,1,0,0
ENSMUSG00000101610,1,15,0,36
ENSMUSG00000118923,0,0,0,0
ENSMUSG00000098555,0,0,0,0
ENSMUSG00000097628,0,3,0,9
ENSMUSG00000098163,0,0,0,0
ENSMUSG00000097171,0,0,0,0
ENSMUSG00000101314,0,0,0,0
ENSMUSG00000016918,1,112,0,130
ENSMUSG00000025938,0,1,0,3
ENSMUSG00000104518,0,0,0,0
ENSMUSG00000069620,0,0,0,0
ENSMUSG00000099498,0,0,0,0
ENSMUSG00000042414,1,0,1,0
ENSMUSG00000005886,1002,573,1048,687
ENSMUSG00000103506,1,0,0,0
ENSMUSG00000103495,0,0,0,0
ENSMUSG00000102639,0,0,0,0
ENSMUSG00000104170,0,0,1,0
ENSMUSG00000087782,0,0,1,0
ENSMUSG00000103085,15,0,9,1
ENSMUSG00000102664,16,0,3,0
ENSMUSG00000101476,5,0,1,0
ENSMUSG00000119076,0,0,0,0
ENSMUSG00000101171,2,4,3,7
ENSMUSG00000025935,1542,1097,1355,1319
ENSMUSG00000025937,550,102,472,60
ENSMUSG00000102982,32,1,27,0
ENSMUSG00000067813,0,0,0,0
ENSMUSG00000077368,0,0,0,0
ENSMUSG00000097711,2,0,0,0
ENSMUSG00000102166,0,0,0,0
ENSMUSG00000104209,0,0,0,0
ENSMUSG00000025932,0,7,0,9
ENSMUSG00000102588,0,0,0,0
ENSMUSG00000054493,0,0,0,0
ENSMUSG00000025930,0,0,0,1
ENSMUSG00000103492,0,0,0,0
ENSMUSG00000081201,9,67,12,85
ENSMUSG00000082193,121,157,181,152
ENSMUSG00000032769,0,0,0,0
ENSMUSG00000088159,0,0,0,0
ENSMUSG00000073737,13,9,3,6
ENSMUSG00000092083,0,0,0,0
ENSMUSG00000102937,0,0,0,0
ENSMUSG00000104149,3,0,6,0
ENSMUSG00000088829,0,0,0,0
ENSMUSG00000077377,0,0,0,0
ENSMUSG00000101652,0,0,0,0
ENSMUSG00000100814,0,0,0,0
ENSMUSG00000025925,329,108,286,104
ENSMUSG00000104379,1,0,1,0
ENSMUSG00000032719,1,21,0,7
ENSMUSG00000100652,0,3,0,3
ENSMUSG00000067795,2,5,0,7
ENSMUSG00000043716,5356,802,4579,831
ENSMUSG00000025921,156,292,145,443
ENSMUSG00000104165,0,0,0,0
ENSMUSG00000100868,0,0,3,0
ENSMUSG00000025920,568,135,567,168
ENSMUSG00000089982,0,0,1,0
ENSMUSG00000025939,418,471,429,542
ENSMUSG00000102457,1,3,3,3
ENSMUSG00000079658,638,214,748,306
