Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
IL-17 signaling pathway,-0.8966525864055143,-1.9953019972816877,0.0,0.0,93,80,IL17RE;ELAVL1;TRAF4;HSP90AB1;HSP90AA1;IKBKG;IL17RC;CHUK;HSP90B1;MAPK12;MAPK1;FADD;TRADD;SRSF1;MAPK6;IKBKE;MAPK9;IL17RA;MAP3K7;FOSB;MAPK3;MAPK14;MAPK8;IKBKB;IL5;MAPK13;ANAPC5;IL17D;IL17B;CASP3;IL13;CASP8;IL4;TRAF6;MAPK4;MMP13;MAPK11;MUC5B;TAB2;TRAF2;MAPK15;GSK3B;MAPK10;FOSL1;IL17C;TRAF3;TBK1;USP25;FOS;LCN2;IL17RB;MAPK7;RELA;CCL11;CXCL10;TRAF5;MMP3;TAB3;NFKB1;TRAF3IP2;MMP9;JUN;NFKBIA;CSF2;CEBPB;CSF3;CCL7;JUND;CCL2;CXCL3;CXCL5;PTGS2;IL1B;IL6;CXCL2;TNFAIP3;CXCL8;CXCL1;CXCL6;MMP1,JUN;NFKBIA;CSF2;CEBPB;CSF3;CCL7;JUND;CCL2;CXCL3;CXCL5;PTGS2;IL1B;IL6;CXCL2;TNFAIP3;CXCL8;CXCL1;CXCL6;MMP1
Protein digestion and absorption,-0.879353019468363,-1.8961060607824454,0.0,0.0,90,80,SLC38A2;SLC8A1;COL13A1;ELN;ATP1B3;COL11A1;COL12A1;COL9A2;PRSS3;ATP1A1;SLC36A1;CPA3;COL4A6;SLC1A5;SLC1A1;CELA2B;SLC15A1;KCNQ1;COL17A1;CELA2A;CELA3A;SLC6A19;CTRB1;CPA2;MEP1B;COL2A1;ATP1A3;SLC3A1;COL9A3;COL11A2;KCNK5;CELA3B;COL9A1;PGA4;COL6A6;SLC7A8;ATP1B2;ATP1B1;SLC3A2;SLC8A3;SLC16A10;COL27A1;KCNJ13;SLC7A9;ATP1A4;KCNE3;CPA1;COL4A3;FXYD2;COL22A1;PGA3;COL10A1;PGA5;PRCP;COL24A1;COL18A1;SLC8A2;COL5A2;SLC9A3;COL4A4;XPNPEP2;COL4A5;ATP1A2;COL4A1;COL4A2;SLC7A7;COL21A1;COL14A1;COL1A2;COL6A3;COL1A1;COL5A1;MME;COL7A1;COL6A2;COL3A1;DPP4;COL6A1;COL5A3;COL15A1,ATP1A2;COL4A1;COL4A2;SLC7A7;COL21A1;COL14A1;COL1A2;COL6A3;COL1A1;COL5A1;MME;COL7A1;COL6A2;COL3A1;DPP4;COL6A1;COL5A3;COL15A1
Cytokine-cytokine receptor interaction,-0.7578943422076171,-1.8146793961573977,0.0,0.006808961735265937,294,210,GDF6;TNFRSF12A;TNFRSF10D;IL7R;TGFB2;NGF;CSF1;IL17RE;BMP4;IL6R;IL21R;GDF11;IL17RC;TNFSF12;IL27RA;LTBR;IL4R;IL11RA;CCL26;CSF2RB;IL11;BMPR2;IL12A;RELT;TNFSF13;TNFRSF10A;CXCR6;TNFRSF10C;IL17RA;LEP;CXCL12;IL1R2;CLCF1;IL2RB;IL5;IL18;IL12B;TNFRSF14;IL2RA;IFNA21;IL12RB1;TNFRSF17;BMPR1B;CCL25;CCL13;GHR;IL17D;CXCL14;MPL;IL13RA1;TNFRSF13B;TNFSF8;IFNL3;IL27;TNFRSF1A;IL37;EDAR;NODAL;IL20RA;IL17B;IL3RA;GDF9;TNFRSF4;CNTF;CNTFR;IFNB1;IL13;IL4;LIFR;IL10RB;ACVR1;PF4;IL1RL2;IFNAR2;TGFB1;IL31RA;GDF10;CCL21;CXCR3;IFNL1;IL36B;CCR1;CCR2;IFNA1;CX3CR1;CCL1;TNFRSF8;AMHR2;IL2RG;GDF7;TNFRSF10B;IL12RB2;IL10RA;CCL19;CCL24;OSM;BMP7;CD4;CXCL17;BMPR1A;INHBC;CCR9;TNFRSF25;IL1RL1;ACVR1B;EDA2R;BMP3;IFNGR2;TNFRSF21;IL33;IL20;CTF1;IL22RA1;EDA;TNFSF4;CSF1R;BMP8A;EPO;TSLP;IFNLR1;THPO;TNFRSF18;CD27;IL15;IL17C;TNFSF10;PF4V1;IL36G;INHA;CCR7;LEPR;FAS;CXCR4;IFNE;IL7;BMP5;MSTN;TNFSF15;GDF15;TNFRSF13C;CSF3R;TGFB3;IL23A;TNFSF14;ACKR3;NGFR;TNFRSF9;IL19;CD40;ACVR1C;PRLR;TNFRSF11A;IL17RB;BMP8B;IL20RB;CCR10;IFNGR1;IL1RN;CXCL11;EPOR;INHBB;TNFSF13B;CCL11;CCL28;CXCL10;TGFBR2;TNFSF9;ACVR2A;ACVRL1;INHBA;IL1RAP;TNFRSF11B;AMH;CX3CL1;ACVR2B;BMP2;TGFBR1;CXCL16;CCL8;GDF5;IL16;IL18R1;IL13RA2;TNFSF18;IL6ST;LIF;IL24;INHBE;TNFRSF1B;IL15RA;IL1A;TNFRSF19;IFNAR1;CSF2;CSF3;OSMR;CCL7;IL34;CCL2;CXCL3;IL1R1;CXCL5;ACKR4;IL1B;IL6;CXCL2;IL32;CXCL8;CXCL1;CXCL6,BMP8B;IL20RB;CCR10;IFNGR1;IL1RN;CXCL11;EPOR;INHBB;TNFSF13B;CCL11;CCL28;CXCL10;TGFBR2;TNFSF9;ACVR2A;ACVRL1;INHBA;IL1RAP;TNFRSF11B;AMH;CX3CL1;ACVR2B;BMP2;TGFBR1;CXCL16;CCL8;GDF5;IL16;IL18R1;IL13RA2;TNFSF18;IL6ST;LIF;IL24;INHBE;TNFRSF1B;IL15RA;IL1A;TNFRSF19;IFNAR1;CSF2;CSF3;OSMR;CCL7;IL34;CCL2;CXCL3;IL1R1;CXCL5;ACKR4;IL1B;IL6;CXCL2;IL32;CXCL8;CXCL1;CXCL6
Steroid hormone biosynthesis,-0.9029019501521337,-1.8128878254627785,0.0,0.007660081952174178,60,36,COMT;HSD17B1;STS;LRTOMT;HSD17B6;UGT2B4;UGT1A7;HSD17B7;SRD5A1;HSD17B8;HSD3B2;UGT1A1;HSD17B12;CYP11A1;UGT1A10;AKR1D1;CYP1A1;CYP17A1;DHRS11;CYP19A1;SULT2B1;CYP7A1;UGT2B7;CYP2E1;CYP3A7;CYP3A5;HSD11B2;SRD5A3;SRD5A2;HSD17B2;AKR1C3;AKR1C2;AKR1C1;HSD11B1;CYP1B1;CYP7B1,AKR1C3;AKR1C2;AKR1C1;HSD11B1;CYP1B1;CYP7B1
Proteasome,0.8382217388192437,1.9065000636687452,0.0,0.009721890190453423,45,43,PSMB5;PSMD2;PSMB6;PSMD8;PSMC4;POMP;PSMC2;PSMB4;PSMB2;PSMD6;PSMD3;PSMD1;PSMD11;PSMA7;PSMA5;PSMC3;PSMC5;PSMD13;PSMD4;PSME3;PSMD12;PSMB1;PSMD14;PSMA4;PSMD7;SEM1;ADRM1;PSMB7;PSMA3;PSME4;PSMA1;PSMC6;PSMF1;PSMB3;PSMA6;PSMB11;PSMB8;PSMB9;PSMA2;PSMB10;PSME2;PSMC1;PSME1,PSMB5;PSMD2;PSMB6;PSMD8;PSMC4;POMP;PSMC2;PSMB4;PSMB2;PSMD6;PSMD3;PSMD1;PSMD11;PSMA7;PSMA5;PSMC3;PSMC5;PSMD13;PSMD4;PSME3;PSMD12;PSMB1;PSMD14;PSMA4;PSMD7
Complement and coagulation cascades,-0.9096048898507598,-1.8033773695394255,0.0,0.010213442602898906,79,54,F2RL2;SERPINE1;F2R;F3;VTN;F7;PLAUR;F2;A2M;SERPINC1;PROC;BDKRB1;CD46;SERPINA5;FGB;KNG1;KLKB1;C5AR1;C8G;ITGAX;C3AR1;F2RL3;C4B;CFB;SERPIND1;CFI;ITGB2;CFD;C9;F12;VWF;ITGAM;MASP2;F10;PROCR;C5;THBD;F8;SERPINA1;TFPI;CD59;PLAU;CFH;PROS1;PLAT;CD55;MASP1;SERPING1;SERPINB2;BDKRB2;C1R;C1S;CLU;C3,PLAU;CFH;PROS1;PLAT;CD55;MASP1;SERPING1;SERPINB2;BDKRB2;C1R;C1S;CLU;C3
Ribosome,0.752031657890909,1.8014400001608557,0.0,0.012962520253937898,153,135,MRPS7;RPL26L1;RPS27L;MRPL33;MRPS12;MRPL20;MRPL18;MRPL9;MRPS16;MRPL28;MRPL16;MRPS11;RPL36AL;MRPS15;RPLP1;RPL22L1;RPS2;MRPS21;MRPL21;MRPL23;MRPL22;MRPL3;MRPL24;RPS6;MRPL4;RPS13;MRPL12;MRPL15;MRPL13;RPL6;MRPL32;MRPS10;MRPL11;RPL7A;RPLP0;MRPS18A;MRPL27;RPLP2;RPSA;RPL27;RPL23;RPL37A;RPS27A;RPL35A;UBA52;MRPL17;RPL35;MRPL14;RPL27A;MRPS14;RPL14;MRPS18C;RPS26;RPL10A;RPL36;RPS23;MRPL36;RPL18;MRPL34;MRPS9;RPS15;RPS3;RPS21;MRPL19;RPS20;RPL5;RPL17;FAU;RPL10;MRPL35;RPL21;RPL24;MRPS2;RPS16;RPL9;RPS25;RPL38;RPL30;RPS24;RPS8;MRPS5;RPS29;RPL19;RPS7;MRPL1;RPL11;RPS15A;RPL7;RPS19;RPS12;RPS17;MRPS17;RPL23A;RPL26;MRPL30;RPL41;RPL13A;RPS14;RPL34;RPL3;RPS28;RPL12;RNA5S9;RPS9;RPL4;RPS3A;RPL8;RPS4X;RPS18;RPS10;RPL36A;RPL28;RNA5S14;MRPL2;RNA5S5;RPS4Y1;MRPL10;RPL13;RPL32;MRPS6;RNA5S7;RPL31;RPL37;RPL29;RPS5;RNA5S6;RPL3L;RPS11;RPL18A;RPL15;RPS27;RPL22;RSL24D1;RPL10L;RPL39,MRPS7;RPL26L1;RPS27L;MRPL33;MRPS12;MRPL20;MRPL18;MRPL9;MRPS16;MRPL28;MRPL16;MRPS11;RPL36AL;MRPS15;RPLP1;RPL22L1;RPS2;MRPS21;MRPL21;MRPL23;MRPL22;MRPL3;MRPL24;RPS6;MRPL4;RPS13;MRPL12;MRPL15;MRPL13;RPL6;MRPL32;MRPS10;MRPL11;RPL7A;RPLP0;MRPS18A;MRPL27;RPLP2;RPSA;RPL27;RPL23;RPL37A;RPS27A;RPL35A;UBA52;MRPL17;RPL35;MRPL14;RPL27A;MRPS14;RPL14;MRPS18C;RPS26;RPL10A;RPL36;RPS23;MRPL36;RPL18;MRPL34;MRPS9;RPS15;RPS3;RPS21;MRPL19;RPS20;RPL5;RPL17;FAU;RPL10;MRPL35;RPL21;RPL24;MRPS2;RPS16;RPL9;RPS25;RPL38;RPL30;RPS24;RPS8;MRPS5;RPS29;RPL19;RPS7;MRPL1
NOD-like receptor signaling pathway,-0.8069726958325365,-1.7768951472060146,0.0,0.013131569060870022,178,147,TXN;GABARAPL1;TLR4;NEK7;PYCARD;PLCB4;BCL2L1;TXN2;HSP90AB1;PLCB3;TRIP6;CARD9;MYD88;HSP90AA1;IKBKG;VDAC1;PRKCD;DHX33;DNM1L;RHOA;MCU;ERBIN;MFN2;NFKBIB;CHUK;BIRC2;VDAC3;ATG16L1;MAPK12;MAPK1;FADD;PLCB2;TRPM2;GABARAPL2;TAB1;IRAK4;VDAC2;IRF3;PLCB1;IKBKE;ITPR2;MFN1;MAPK9;TRPV2;SUGT1;RIPK1;CASP4;ATG5;NLRP3;SHARPIN;BRCC3;NLRP1;PSTPIP1;MAP3K7;TYK2;TANK;MAPK3;MAPK14;MAPK8;CARD16;IKBKB;NOD1;IL18;IFNA21;MAPK13;PYDC1;ATG12;IFNB1;CASP8;TRAF6;IFNAR2;JAK1;MAVS;NLRX1;RNASEL;IFNA1;GPRC6A;NLRP12;CTSB;MAPK11;CAMP;NAIP;GSDMD;TAB2;TRAF2;TRPM7;TP53BP1;RIPK3;MAPK10;CYBA;NLRC4;CARD8;ITPR1;GBP5;RNF31;NLRP6;CARD6;TRAF3;XIAP;PANX1;CASP5;TICAM1;GABARAP;TBK1;AIM2;CASP12;ITPR3;GBP3;IRF7;RBCK1;BCL2;MEFV;CASP1;IRF9;CYBB;RELA;RIPK2;TRAF5;TAB3;NOD2;NFKB1;ANTXR2;P2RX7;GBP4;ANTXR1;IFI16;JUN;GBP1;NFKBIA;IFNAR1;STAT2;GBP2;NAMPT;CCL2;CXCL3;STAT1;IL1B;OAS3;IL6;CXCL2;BIRC3;OAS1;TNFAIP3;OAS2;CXCL8;CXCL1;TXNIP,ANTXR1;IFI16;JUN;GBP1;NFKBIA;IFNAR1;STAT2;GBP2;NAMPT;CCL2;CXCL3;STAT1;IL1B;OAS3;IL6;CXCL2;BIRC3;OAS1;TNFAIP3;OAS2;CXCL8;CXCL1;TXNIP
Pertussis,-0.8834613560434597,-1.7814526754511377,0.0,0.013617923470531874,76,64,CFL1;CALM1;TLR4;PYCARD;CFL2;CALM3;MYD88;CALM2;IRAK1;RHOA;GNAI2;MAPK12;MAPK1;GNAI1;GNAI3;IRAK4;IL12A;IRF3;MAPK9;CD14;NLRP3;MAPK3;MAPK14;MAPK8;NOD1;IL12B;MAPK13;TICAM2;TIRAP;CASP3;TRAF6;C4B;SFTPA2;MAPK11;ITGB1;CALML4;ITGB2;LY96;MAPK10;IRF8;ITGAM;NOS2;TICAM1;C5;FOS;IL23A;CALML6;CASP7;CASP1;RELA;NFKB1;JUN;ITGA5;IL1A;IRF1;SERPING1;CXCL5;IL1B;IL6;C1R;C1S;CXCL8;CXCL6;C3,JUN;ITGA5;IL1A;IRF1;SERPING1;CXCL5;IL1B;IL6;C1R;C1S;CXCL8;CXCL6;C3
Oxidative phosphorylation,0.7572233341056042,1.8687397496971077,0.0,0.014582835285680133,133,113,ATP5F1B;ATP5MC3;ATP6V0E1;COX8A;UQCRQ;ATP6V1B2;ATP5MC1;ATP6V1D;NDUFC1;ATP5MF;COX7A2;NDUFB4;ATP6V1E1;ATP6V1H;UQCR10;NDUFB2;COX6C;ATP5F1C;NDUFS8;COX17;SDHB;NDUFS2;ATP5PF;NDUFB3;NDUFB6;NDUFA12;NDUFS5;ATP6V1A;COX6B1;NDUFA8;UQCRFS1;NDUFA2;ATP5PB;NDUFC2;UQCRC1;ATP5MC2;NDUFB10;NDUFAB1;NDUFB7;ATP6V0D1;ATP5F1A;ATP6V0B;NDUFS6;COX7B;ATP5MG;ATP5PD;NDUFS4;UQCRC2;ATP5F1E;ATP5ME;COX4I1;SDHC;NDUFS1;NDUFS3;NDUFV3;NDUFA4;COX11;NDUFS7;SDHD;ATP6V1F;NDUFB9;UQCRB;NDUFA1;UQCRH;NDUFA10;COX5A;NDUFA11;COX6A1;UQCR11;UQCRHL;COX10;COX5B;CYC1;TCIRG1;NDUFV1;NDUFB1;COX7A2L;ATP6V0C;ATP6V1G1;COX7C;NDUFA9;PPA2;NDUFB8;SDHA;ATP5PO;ATP6V0A2;ATP6AP1;COX15;ATP4B;NDUFB11;NDUFB5;NDUFV2;ATP6V0A4;ATP6V0E2;ATP12A;NDUFA13;NDUFA3;ATP6V1B1;NDUFA7;ATP6V1C2;ATP4A;NDUFC2-KCTD14;COX7A1;COX4I2;NDUFA5;ATP6V1E2;ATP6V1C1;ATP5F1D;PPA1;LHPP;COX6B2;ATP6V0A1;NDUFA4L2,ATP5F1B;ATP5MC3;ATP6V0E1;COX8A;UQCRQ;ATP6V1B2;ATP5MC1;ATP6V1D;NDUFC1;ATP5MF;COX7A2;NDUFB4;ATP6V1E1;ATP6V1H;UQCR10;NDUFB2;COX6C;ATP5F1C;NDUFS8;COX17;SDHB;NDUFS2;ATP5PF;NDUFB3;NDUFB6;NDUFA12;NDUFS5;ATP6V1A;COX6B1;NDUFA8;UQCRFS1;NDUFA2;ATP5PB;NDUFC2;UQCRC1;ATP5MC2;NDUFB10;NDUFAB1;NDUFB7;ATP6V0D1;ATP5F1A;ATP6V0B;NDUFS6;COX7B;ATP5MG;ATP5PD;NDUFS4;UQCRC2;ATP5F1E;ATP5ME;COX4I1;SDHC;NDUFS1;NDUFS3;NDUFV3;NDUFA4;COX11;NDUFS7;SDHD;ATP6V1F;NDUFB9;UQCRB;NDUFA1;UQCRH;NDUFA10;COX5A;NDUFA11;COX6A1
