Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Complement and coagulation cascades,0.880971384234991,1.6732901874854142,0.0,0.0,88,65,SERPINE1;ITGAM;C3AR1;PLAU;C5AR1;CLU;C3;BDKRB2;PROS1;THBD;ITGB2;F2RL2;PROCR;PLAUR;F10;SERPINB2;CD59A;ITGAX;F3;VWF;BDKRB1;CFB;PLAT;C1S2;C1RA;F13A1;C1S1;MASP2;F5;F2;C1RB;CD59B;A2M;C4B;TFPI;C8G;HC;CR2;F7;SERPIND1;KLKB1;C1QC;PLG;F11;F2RL3;CD46;C9;FGB;MASP1;SERPINA1C;CFD;SERPINF2;PROC;C1QB;C4BP;CPB2;C1QA;SERPING1;CFI;CFH;C2;F9;SERPINC1;F12;F8,SERPINE1;ITGAM;C3AR1;PLAU;C5AR1;CLU;C3;BDKRB2;PROS1;THBD;ITGB2;F2RL2;PROCR;PLAUR;F10
Cytokine-cytokine receptor interaction,0.8359197508203545,1.7185264120788468,0.0,0.0,292,204,IL1RN;IL10RA;TNFRSF9;CXCL2;LIF;CCL4;IL13RA1;IL4RA;CCL2;CSF2RB;ACVRL1;CSF3;CCL3;TNFRSF1B;CCL7;IL10;IL1B;CCL9;IL27;CCR1;CSF2RB2;CXCL3;CSF3R;EPOR;IL18;IL15RA;IL33;CCL22;IL16;IL1A;FAS;LTA;OSM;IL17RC;TNFRSF8;CSF2;BMPR2;AMHR2;PF4;ACKR3;ACVR1B;CXCL11;IL2RA;TNFSF13B;IL1RAP;CCL6;GDF15;CSF1;IL15;CXCR2;TGFBR2;CLCF1;TGFB3;IL23A;IL6ST;IFNAR1;TNFRSF14;RELT;TGFB1;CD40;TNFRSF18;PPBP;TNF;CXCL10;TNFSF15;CD27;CTF1;CXCR5;CXCL16;IFNGR2;INHBA;TNFSF9;IL34;IFNLR1;IL6;IL2RG;CXCL14;IL17D;TNFRSF12A;IFNGR1;IL12RB1;CCL24;NODAL;BMP8A;TNFRSF10B;IL1R1;IL6RA;TNFSF12;IL27RA;IL17RE;TNFSF14;CCR7;LEPR;IL2RB;ACKR4;IL10RB;GHR;EPO;CXCR6;TNFSF13;CCR3;CX3CL1;OSMR;CCL12;CCR5;CXCL1;TNFRSF1A;TNFRSF4;IL17B;CCL5;GDF11;CCR4;IL17RA;IL7R;IL13RA2;GDF5;TSLP;TNFRSF25;BMP7;TNFRSF13C;CCR9;IL4;GH;CXCL15;BMP6;INHA;THPO;CCR8;IL19;IL9R;IFNK;IL12B;INHBE;CNTFR;IFNA15;CD4;GDF9;IL2;MPL;IFNA13;INHBC;IL23R;CCR1L1;TNFSF18;IL31;LIFR;TGFBR1;NGFR;IFNB1;IL18R1;IL17C;CXCR1;IL11RA2;TNFRSF13B;CXCL9;IL12RB2;CCL17;EDA2R;GDF7;IL21R;TNFRSF11A;CCL25;TNFSF8;BMP10;GM13305;CXCL12;IFNA11;XCR1;EDA;IL7;CSF2RA;TNFRSF19;IL5;CNTF;IL20RB;CXCR3;IL31RA;BMP8B;FASL;IL1RL2;INHBB;AMH;TGFB2;IL17F;ACVR2A;CCR2;IL3RA;BMPR1A;IL11;IL17RB;IL11RA1;BMPR1B;IL1RL1;ACVR1;ACVR2B;CCR10;IFNAR2;LTBR;IL18RAP;CXCR4;CRLF2;LTB;CSF1R;CX3CR1,IL1RN;IL10RA;TNFRSF9;CXCL2;LIF;CCL4;IL13RA1;IL4RA;CCL2;CSF2RB;ACVRL1;CSF3;CCL3;TNFRSF1B;CCL7;IL10;IL1B;CCL9;IL27;CCR1;CSF2RB2;CXCL3;CSF3R;EPOR;IL18;IL15RA;IL33;CCL22;IL16;IL1A;FAS;LTA;OSM;IL17RC;TNFRSF8;CSF2;BMPR2;AMHR2;PF4;ACKR3;ACVR1B;CXCL11;IL2RA;TNFSF13B;IL1RAP;CCL6;GDF15;CSF1;IL15;CXCR2;TGFBR2;CLCF1
HIF-1 signaling pathway,0.8555286211558255,1.6859118640464428,0.0,0.0,104,99,VEGFA;PFKFB3;SERPINE1;ENO2;SLC2A1;EGLN1;HK1;PDK1;STAT3;EIF4EBP1;MAP2K1;CAMK2D;NOS2;HIF1A;AKT3;HMOX1;HK3;LDHA;ALDOA;MAPK3;CDKN1A;VHL;HK2;PGK1;PFKL;EGLN3;PLCG1;EDN1;INSR;TLR4;PRKCG;CDKN1B;ENO3;TIMP1;ARNT;PIK3CB;IFNGR2;NOS3;IL6;IFNGR1;PIK3R2;ENO1B;PIK3CA;IL6RA;ENO1;PDHA1;IGF1R;PRKCB;EPO;MKNK2;CAMK2B;GAPDH-PS15;ERBB2;CAMK2A;RPS6KB2;EIF4E1B;ELOB;MKNK1;TRF;NPPA;EGFR;CYBB;AKT2;1300017J02RIK;FLT1;GAPDH;ANGPT4;BCL2;EGF;HKDC1;TEK;RELA;PIK3R3;CAMK2G;ELOC;EP300;RPS6KB1;RPS6;MAPK1;NFKB1;CUL2;RBX1;PIK3R1;EGLN2;LTBR;CREBBP;EIF4E;MTOR;ANGPT2;PRKCA;IGF1;ENO4;EIF4E2;PDHB;PLCG2;TFRC;MAP2K2;PIK3CD;AKT1,VEGFA;PFKFB3;SERPINE1;ENO2;SLC2A1;EGLN1;HK1;PDK1;STAT3;EIF4EBP1;MAP2K1;CAMK2D;NOS2;HIF1A;AKT3;HMOX1;HK3;LDHA;ALDOA;MAPK3;CDKN1A;VHL;HK2;PGK1;PFKL;EGLN3;PLCG1;EDN1
Neuroactive ligand-receptor interaction,0.8262574006535323,1.717454431865249,0.0,0.0,348,192,GIPR;THRA;ADM;C3AR1;C5AR1;C3;BDKRB2;GPR35;TSPO;GRIN1;P2RY6;P2RY2;CALCRL;ADORA2B;F2RL2;PTAFR;ADORA3;CNR2;EDN1;LTB4R1;P2RX4;NR3C1;CYSLTR1;CHRNB4;S1PR2;CHRNB1;GHRH;GRIK5;ADORA2A;BDKRB1;PTGER4;INSL3;PTGIR;CALCB;HRH1;ADRB2;P2RX1;MC3R;P2RX3;PTGER2;GALR3;CHRNB2;PTGER1;KISS1R;MC1R;LEPR;GABRD;FPR2;TBXA2R;GHR;F2;GRM4;HTR2A;ADRB3;S1PR4;P2RY13;SSTR2;SCTR;TAC4;APLN;TRPV1;VIPR1;P2RX6;GIP;CHRNA2;LPAR6;GRIN2C;PDYN;GNRH1;CCKAR;TACR2;NMB;TRHR2;GPR156;GH;CCK;AVPR1B;HC;PTH1R;GHRL;FPR1;ADRA2B;CHRNE;PTH2;GABRB1;GRIN3A;GRIN2D;S1PR3;GABBR2;MAS1;NTSR1;HTR5B;NMUR1;PLG;F2RL3;P2RX5;HTR1F;PMCH;GLP2R;AGT;CHRM1;EDNRA;HTR1D;GABRR3;CRH;CHRNA10;GRP;RLN1;EDN3;GALR1;MCHR1;CRHR2;DRD4;GRM8;CHRNA1;GRIK4;AVP;AVPR2;HTR4;GRID1;CHRNA4;CHRM2;CHRNA9;PTH;TAAR5;NMBR;GLP1R;OXT;P2RY1;NPFF;PARD3;NPY4R;GABRR1;MC5R;S1PR5;UCN2;NPB;HTR2B;OPRL1;VIP;CHRNB3;GABRA2;OPRD1;GCGR;TRHR;HCRT;NPY2R;HTR6;GRIA2;LHCGR;GRID2;LPAR4;NMUR2;HTR2C;LHB;P2RX2;OXTR;RXFP1;P2RY10B;EDN2;CORT;GABRR2;ADRA1D;CGA;GCG;VIPR2;GNRHR;SSTR3;GPR83;GRIN2A;LTB4R2;RXFP4;PTH2R;DRD5;GRIN3B;GALR2;DRD1;GRIN2B;CHRM4;TSHR;ADRA2A;S1PR1;CHRNA3;CHRM3;GRIK3;CYSLTR2;SSTR5;POMC;LPAR2;HTR1B;LPAR1;P2RX7,GIPR;THRA;ADM;C3AR1;C5AR1;C3;BDKRB2;GPR35;TSPO;GRIN1;P2RY6;P2RY2;CALCRL;ADORA2B;F2RL2;PTAFR;ADORA3;CNR2;EDN1;LTB4R1;P2RX4;NR3C1;CYSLTR1;CHRNB4;S1PR2;CHRNB1
RNA transport,-0.782942812391778,-1.9873468209938108,0.0,0.0,167,155,EIF4EBP1;CYFIP1;CYFIP2;EIF1B;ELAC1;SNUPN;EIF2S3Y;NXF7;EIF4A2;PABPC1L;RPP21;SENP2;EIF4E1B;EIF2S2;GEMIN8;NXF3;4930444G20RIK;NXF1;PABPC2;AAAS;POM121L2;EIF3H;RPP25;POP4;SAP18;SUMO1;EEF1A2;RNPS1;SUMO2;THOC7;RASL2-9;GEMIN4;NXT2;EIF4EBP3;RPP38;EEF1A1;EIF2B2;UPF2;NUP35;EIF3E;NUP210L;MAGOHB;THOC2;PYM1;EIF3C;SAP18B;RANBP2;EIF4E;NCBP1;NUPL2;EIF3J1;PAIP1;FXR1;UPF3B;ALYREF2;RPP40;EIF3F;TGS1;EIF2S3X;NUP50;EIF2B3;DDX20;RAE1;GEMIN7;CASC3;NUP98;UBE2I;RPP30;SEC13;EIF4EBP2;CLNS1A;XPOT;POP7;EIF4G3;POP5;STRAP;EIF1AX;EIF1A;UPF3A;RANGAP1;EIF4B;GEMIN6;THOC3;EIF5B;THOC5;EIF5;NXT1;EIF1;THOC6;EIF2B5;FXR2;GEMIN2;NMD3;NUP54;EIF4E2;THOC1;EIF4A1;RPP14;NUP133;EIF2B4;NUP37;NUP155;SUMO3;SMN1;XPO1;MAGOH;SRRM1;NUP62;NUP160;PHAX;NUP93;TPR;NUP205;NUP188;EIF3D;NUP43;NUP210;RBM8A;NUP107;NUP153;ELAC2;NCBP2;EIF3I;EIF4A3;PRMT5;SEH1L;RPP25L;FMR1;DDX39B;UPF1;NUP85;EIF2S1;NUP88;PNN;TRNT1;EIF2B1;XPO5;POM121;TACC3;EIF4G2;EIF3A;NDC1;EIF3J2;NUP214;EIF3G;KPNB1;EIF4G1;GEMIN5;ACIN1;PABPC1;ALYREF;RAN;POP1;EIF3B;PABPC4,ALYREF2;RPP40;EIF3F;TGS1;EIF2S3X;NUP50;EIF2B3;DDX20;RAE1;GEMIN7;CASC3;NUP98;UBE2I;RPP30;SEC13;EIF4EBP2;CLNS1A;XPOT;POP7;EIF4G3;POP5;STRAP;EIF1AX;EIF1A;UPF3A;RANGAP1;EIF4B;GEMIN6;THOC3;EIF5B;THOC5;EIF5;NXT1;EIF1;THOC6;EIF2B5;FXR2;GEMIN2;NMD3;NUP54;EIF4E2;THOC1;EIF4A1;RPP14;NUP133;EIF2B4;NUP37;NUP155;SUMO3;SMN1;XPO1;MAGOH;SRRM1;NUP62;NUP160;PHAX;NUP93;TPR;NUP205;NUP188;EIF3D;NUP43;NUP210;RBM8A;NUP107;NUP153;ELAC2;NCBP2;EIF3I;EIF4A3;PRMT5;SEH1L;RPP25L;FMR1;DDX39B;UPF1;NUP85;EIF2S1;NUP88;PNN;TRNT1;EIF2B1;XPO5;POM121;TACC3;EIF4G2;EIF3A;NDC1;EIF3J2;NUP214;EIF3G;KPNB1;EIF4G1;GEMIN5;ACIN1;PABPC1;ALYREF;RAN;POP1;EIF3B;PABPC4
Ribosome,-0.7815311141872752,-1.922807906539268,0.0,0.0,170,132,RPL18A;MRPL14;RPL34-PS1;RPS27RT;RPL13A;RPL22;RPS20;RPL39;RPL31-PS12;RPL5;RPS24;MRPS21;RPL35A;RPL23;RPL24;RPS28;RPL17;RPS19;RPL34;RPS14;MRPL23;MRPL33;RPL37;RPL37RT;MRPL10;RPL3L;RPS25;RPS16;RPL22L1;RPL13;RPS5;RPL29;RPL27A;RPL7A;GM4925;FAU;RPL15;RPS21;RPS3A1;RPS3;RPL38;RPL26;RPL37A;MRPL24;RPS23;MRPS18C;RPL7;RPS13;RPS27;RPL36A;RPL31;RPL19;RPL30;RPS6;MRPL32;RPL23A;RPL11;RPL9;MRPL17;RPL4;RPS2;MRPL22;RPS15;MRPS10;RPL18;RPS8;RPL32;RPS4X;MRPL2;RPS7;RPS10;RPS15A;RPS27A;MRPL28;MRPL13;MRPS11;MRPL1;RPS26;RPL36;RPS18;RPSA;RPLP2;MRPS16;RPL6;RPL35;RPL14;MRPL35;UBA52;MRPS12;MRPS17;RPL28;RPL36AL;RPS11;RPS12;MRPL27;MRPS14;RPS29;MRPL30;MRPL16;RPL21;MRPS18A;RPS17;MRPL19;RPL10;RPL41;MRPS15;RPS9;MRPL18;MRPS5;RPLP1;MRPL11;RPL12;MRPL21;MRPS9;MRPL36;RPLP0;RPL3;RPL27;RPS27L;MRPL4;MRPS2;RPL10A;RSL24D1;MRPL34;MRPL15;RPL8;MRPL20;MRPS7;MRPS6;MRPL9;MRPL3;MRPL12,RPS2;MRPL22;RPS15;MRPS10;RPL18;RPS8;RPL32;RPS4X;MRPL2;RPS7;RPS10;RPS15A;RPS27A;MRPL28;MRPL13;MRPS11;MRPL1;RPS26;RPL36;RPS18;RPSA;RPLP2;MRPS16;RPL6;RPL35;RPL14;MRPL35;UBA52;MRPS12;MRPS17;RPL28;RPL36AL;RPS11;RPS12;MRPL27;MRPS14;RPS29;MRPL30;MRPL16;RPL21;MRPS18A;RPS17;MRPL19;RPL10;RPL41;MRPS15;RPS9;MRPL18;MRPS5;RPLP1;MRPL11;RPL12;MRPL21;MRPS9;MRPL36;RPLP0;RPL3;RPL27;RPS27L;MRPL4;MRPS2;RPL10A;RSL24D1;MRPL34;MRPL15;RPL8;MRPL20;MRPS7;MRPS6;MRPL9;MRPL3;MRPL12
Ribosome biogenesis in eukaryotes,-0.8953254037028682,-1.9301556921895366,0.0,0.0,115,76,NXF7;EFL1;XRN1;REXO5;CSNK2A1;NXF3;NXF1;RPP25;POP4;FBLL1;NVL;UTP14B;RASL2-9;NXT2;RPP38;RIOK2;RIOK1;FCF1;CSNK2B;RPP40;SBDS;RPP30;GNL2;GNL3L;CSNK2A2;SPATA5;POP7;POP5;XRN2;RBM28;AK6;REXO1;MPHOSPH10;NXT1;GTPBP4;NMD3;UTP4;LSG1;RRP7A;WDR36;XPO1;EIF6;RCL1;UTP15;UTP14A;FBL;RPP25L;BMS1;IMP4;DROSHA;HEATR1;WDR3;IMP3;SNU13;TBL3;UTP6;GNL3;NOP10;UTP18;NOB1;WDR75;REXO2;GAR1;NOP56;TCOF1;NAT10;MDN1;NOL6;EMG1;PWP2;RAN;DKC1;NOP58;POP1;WDR43;NHP2,RPP30;GNL2;GNL3L;CSNK2A2;SPATA5;POP7;POP5;XRN2;RBM28;AK6;REXO1;MPHOSPH10;NXT1;GTPBP4;NMD3;UTP4;LSG1;RRP7A;WDR36;XPO1;EIF6;RCL1;UTP15;UTP14A;FBL;RPP25L;BMS1;IMP4;DROSHA;HEATR1;WDR3;IMP3;SNU13;TBL3;UTP6;GNL3;NOP10;UTP18;NOB1;WDR75;REXO2;GAR1;NOP56;TCOF1;NAT10;MDN1;NOL6;EMG1;PWP2;RAN;DKC1;NOP58;POP1;WDR43;NHP2
Spliceosome,-0.8553936652881347,-2.0804219909143766,0.0,0.0,132,129,PRPF40B;HSPA2;RP9;SYF2;CCDC12;HSPA1A;U2AF1L4;LSM5;SF3B1;CRNKL1;SLU7;SNRNP27;SNRPC;PPIH;PRPF18;PRPF6;SNRPG;HSPA1L;HNRNPA3;MAGOHB;HNRNPA1L2-PS2;THOC2;U2AF1;SNRPB2;DDX42;SMNDC1;LSM7;HSPA1B;NCBP1;SNRPE;XAB2;BUD31;SRSF5;PPIE;CDC40;SNRPF;ALYREF2;USP39;CWC15;PRPF40A;TRA2B;DDX5;PRPF38A;DHX16;SF3B5;CDC5L;TRA2A;U2SURP;HNRNPK;SNW1;CTNNBL1;LSM8;PLRG1;DHX8;PQBP1;SF3B6;SRSF4;DHX38;THOC3;ISY1;DDX46;BCAS2;ZMAT2;SRSF10;RBM17;WBP11;SNRPD1;LSM6;GM13092;SNRNP70;THOC1;PHF5A;SART1;RBM22;SRSF2;PRPF4;AQR;SNRPA1;PRPF38B;RBM25;MAGOH;SNRPD2;SNRPD3;SRSF9;SRSF3;LSM3;PUF60;RBM8A;PCBP1;HNRNPA1;DDX23;SF3A3;NCBP2;PPIL1;SNRPA;EIF4A3;TXNL4A;RBMXL1;SNRNP200;SRSF6;DDX39B;PRPF3;SNRNP40;CHERP;SNU13;PRPF8;SF3B4;HSPA8;TCERG1;HNRNPC;SF3A1;LSM2;SRSF7;PRPF19;SF3B2;SF3B3;EFTUD2;SRSF1;SF3A2;ACIN1;DHX15;ALYREF;LSM4;U2AF2;SNRPB;RBMX;HNRNPM;PRPF31;HNRNPU,CWC15;PRPF40A;TRA2B;DDX5;PRPF38A;DHX16;SF3B5;CDC5L;TRA2A;U2SURP;HNRNPK;SNW1;CTNNBL1;LSM8;PLRG1;DHX8;PQBP1;SF3B6;SRSF4;DHX38;THOC3;ISY1;DDX46;BCAS2;ZMAT2;SRSF10;RBM17;WBP11;SNRPD1;LSM6;GM13092;SNRNP70;THOC1;PHF5A;SART1;RBM22;SRSF2;PRPF4;AQR;SNRPA1;PRPF38B;RBM25;MAGOH;SNRPD2;SNRPD3;SRSF9;SRSF3;LSM3;PUF60;RBM8A;PCBP1;HNRNPA1;DDX23;SF3A3;NCBP2;PPIL1;SNRPA;EIF4A3;TXNL4A;RBMXL1;SNRNP200;SRSF6;DDX39B;PRPF3;SNRNP40;CHERP;SNU13;PRPF8;SF3B4;HSPA8;TCERG1;HNRNPC;SF3A1;LSM2;SRSF7;PRPF19;SF3B2;SF3B3;EFTUD2;SRSF1;SF3A2;ACIN1;DHX15;ALYREF;LSM4;U2AF2;SNRPB;RBMX;HNRNPM;PRPF31;HNRNPU
Staphylococcus aureus infection,0.9000410350972147,1.6823889172427406,0.0,0.0,95,52,ITGAM;FCGR3;C3AR1;C5AR1;C3;IL10;FCGR4;ITGB2;SELPLG;FCGR2B;PTAFR;H2-OB;H2-OA;DEFA30;H2-EB1;H2-DMA;ITGAL;CFB;DEFA24;C1S2;C1RA;C1S1;H2-AB1;MASP2;H2-AA;FPR2;C1RB;C4B;FCGR1;DEFA20;HC;FPR1;ICAM1;DEFA29;C1QC;PLG;DEFA23;H2-DMB1;MASP1;CFD;H2-DMB2;DEFA17;C1QB;KRT10;C1QA;DEFA3;DEFB4;CFI;CFH;SELP;CAMP;C2,ITGAM;FCGR3;C3AR1;C5AR1;C3;IL10;FCGR4;ITGB2;SELPLG;FCGR2B;PTAFR;H2-OB;H2-OA;DEFA30;H2-EB1;H2-DMA;ITGAL
mRNA surveillance pathway,-0.8256280527047168,-1.8497825922561657,0.0,0.0,96,88,PPP2R5B;SMG6;MSI1;SMG1;PPP2R3A;MSI2;NXF7;PABPC1L;PPP2R5A;PPP2R2A;PPP1CB;PAPOLG;PPP2R2C;NXF3;SSU72;NXF1;PABPC2;PAPOLB;RNGTT;RNMT;PELO;PPP1CC;GSPT2;PABPN1L;GM2446;GM2436;SAP18;RNPS1;CLP1;NXT2;UPF2;PPP2R5E;PPP2CB;NUDT21;PPP2R1B;FIP1L1;MAGOHB;PYM1;SAP18B;NCBP1;CSTF2T;CSTF2;PPP2R5C;UPF3B;ALYREF2;PPP1CCB;PPP2R1A;CASC3;CPSF4;SMG7;HBS1L;PPP2R2D;PPP2R3D;CSTF1;PPP1CA;PCF11;PPP2CA;UPF3A;PPP2R5D;NXT1;PAPOLA;PPP2R3C;CSTF3;WDR33;DAZAP1;PABPN1;ETF1;CPSF6;MAGOH;SRRM1;CPSF7;RBM8A;NCBP2;EIF4A3;WDR82;DDX39B;UPF1;CPSF2;SYMPK;CPSF1;PNN;CPSF3;SMG5;GSPT1;ACIN1;PABPC1;ALYREF;PABPC4,CSTF2T;CSTF2;PPP2R5C;UPF3B;ALYREF2;PPP1CCB;PPP2R1A;CASC3;CPSF4;SMG7;HBS1L;PPP2R2D;PPP2R3D;CSTF1;PPP1CA;PCF11;PPP2CA;UPF3A;PPP2R5D;NXT1;PAPOLA;PPP2R3C;CSTF3;WDR33;DAZAP1;PABPN1;ETF1;CPSF6;MAGOH;SRRM1;CPSF7;RBM8A;NCBP2;EIF4A3;WDR82;DDX39B;UPF1;CPSF2;SYMPK;CPSF1;PNN;CPSF3;SMG5;GSPT1;ACIN1;PABPC1;ALYREF;PABPC4
