Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Complement and coagulation cascades,-0.6653396058763454,-1.9953017953049919,0.0,0.0,88,60,PLG;SERPINE1;CFH;C6;SERPIND1;SERPING1;VTN;TFPI;PLAUR;F2R;F2RL3;MASP1;F2RL2;F3;F11;HC;C1QB;F5;C4B;CPB2;CR2;F7;C8G;CD59B;F13A1;CFD;C9;C1RB;A2M;CD55;THBD;F12;CFB;F2;SERPINC1;BDKRB1;ITGAX;F9;C2;SERPINB2;C3AR1;C1S1;CD46;F10;PROS1;MASP2;F8;SERPINF2;C5AR1;PLAU;VWF;ITGB2;CD59A;BDKRB2;PROCR;C1S2;ITGAM;C1RA;CLU;C3,F8;SERPINF2;C5AR1;PLAU;VWF;ITGB2;CD59A;BDKRB2;PROCR;C1S2;ITGAM;C1RA;CLU;C3
DNA replication,-0.728915090138156,-2.07117062508947,0.0,0.0,35,35,POLE4;RPA3;RNASEH2B;RNASEH1;RFC3;SSBP1;POLD4;POLE3;RNASEH2A;FEN1;MCM7;RFC1;RNASEH2C;POLD3;PRIM2;DNA2;PCNA;RFC5;POLD2;RPA1;MCM2;RPA2;RFC2;MCM3;POLA2;MCM5;LIG1;PRIM1;POLE2;POLD1;RFC4;MCM6;POLA1;POLE;MCM4,RFC1;RNASEH2C;POLD3;PRIM2;DNA2;PCNA;RFC5;POLD2;RPA1;MCM2;RPA2;RFC2;MCM3;POLA2;MCM5;LIG1;PRIM1;POLE2;POLD1;RFC4;MCM6;POLA1;POLE;MCM4
Hematopoietic cell lineage,-0.6373594265758492,-1.9937677294222236,0.0,0.0,94,75,KIT;CD44;ITGA5;ITGA6;CD1D1;IL7;ITGB3;CD19;IL11;CD1D2;CSF1;CD34;ITGA1;IL1R2;KITL;FLT3;CD38;IL6;IL11RA2;MME;CD3D;CD3G;H2-DMB1;ITGA2;CD4;CR2;H2-DMB2;CD59B;GM13305;DNTT;IL7R;IL9R;FCER2A;ITGA3;CD55;IL1B;GP5;GP1BA;TFRC;CSF1R;CD22;IL2RA;CSF2;CD36;CD14;H2-EB1;IL1A;H2-AA;IL6RA;ITGA4;IL4;CSF2RA;TNF;CD37;H2-AB1;IL1R1;FCGR1;H2-DMA;CSF3;CSF3R;FLT3L;CD59A;GP9;CD24A;ANPEP;IL4RA;CD5;H2-OA;ITGA2B;IL11RA1;CD33;EPOR;ITGAM;H2-OB;CD9,CD22;IL2RA;CSF2;CD36;CD14;H2-EB1;IL1A;H2-AA;IL6RA;ITGA4;IL4;CSF2RA;TNF;CD37;H2-AB1;IL1R1;FCGR1;H2-DMA;CSF3;CSF3R;FLT3L;CD59A;GP9;CD24A;ANPEP;IL4RA;CD5;H2-OA;ITGA2B;IL11RA1;CD33;EPOR;ITGAM;H2-OB;CD9
Synaptic vesicle cycle,0.5331670557937018,2.056698537973418,0.0,0.0,77,66,CACNA1B;ATP6V1D;ATP6V0B;ATP6V0E;SLC6A9;ATP6V1F;SLC18A2;STX1A;ATP6V0D1;NAPA;CLTA;CLTB;ATP6V1H;ATP6V0A1;ATP6V0E2;AP2S1;ATP6V1C2;UNC13B;ATP6V0C;AP2M1;VAMP2;CPLX2;CPLX1;SLC1A1;ATP6V1G1;SLC1A6;ATP6V0A4;SLC1A3;AP2A1;ATP6V1B1;ATP6V1C1;AP2A2;DNM3;ATP6V1B2;CLTC;STX3;STX1B;AP2B1;SNAP25;RIMS1;SLC6A2;SLC1A7;SLC18A1;SLC6A1;RAB3A;SLC1A2;SYT1;SLC6A11;DNM1;ATP6V1G2;SLC17A6;CACNA1A;ATP6V0A2;STXBP1;SLC6A4;NSF;STX2;SLC17A8;SLC6A13;UNC13A;SLC6A12;ATP6V1E1;DNM2;ATP6V1A;TCIRG1;SLC17A7,CACNA1B;ATP6V1D;ATP6V0B;ATP6V0E;SLC6A9;ATP6V1F;SLC18A2;STX1A;ATP6V0D1;NAPA;CLTA;CLTB;ATP6V1H;ATP6V0A1;ATP6V0E2;AP2S1;ATP6V1C2;UNC13B;ATP6V0C;AP2M1;VAMP2;CPLX2
Staphylococcus aureus infection,-0.7281403970966028,-1.9805637235424598,0.0,0.0020633631194151097,95,44,KRT10;PLG;CFH;FPR1;MASP1;CAMP;HC;C1QB;H2-DMB1;C4B;DEFA29;H2-DMB2;SELP;CFD;C1RB;FPR2;CFB;C2;C3AR1;C1S1;H2-EB1;H2-AA;MASP2;DEFA24;ICAM1;H2-AB1;FCGR1;H2-DMA;ITGAL;IL10;C5AR1;SELPLG;ITGB2;FCGR2B;DEFA30;FCGR4;FCGR3;H2-OA;C1S2;PTAFR;ITGAM;H2-OB;C1RA;C3,MASP2;DEFA24;ICAM1;H2-AB1;FCGR1;H2-DMA;ITGAL;IL10;C5AR1;SELPLG;ITGB2;FCGR2B;DEFA30;FCGR4;FCGR3;H2-OA;C1S2;PTAFR;ITGAM;H2-OB;C1RA;C3
C-type lectin receptor signaling pathway,-0.638510706784573,-1.983865198968377,0.0,0.0025792038992688868,112,96,MAPK12;PPP3CC;MAPK3;CBLB;RELB;PIK3R1;MAPK8;RAF1;ARHGEF12;KRAS;PIK3R3;AKT2;PPP3R1;MAPK9;NFKB2;PYCARD;CALM1;AKT1;RELA;HRAS;NFATC4;RRAS;RHOA;PPP3CA;CLEC1B;ITPR3;IL17D;PIK3CA;PIK3R2;PAK1;IL6;PPP3CB;JUN;CHUK;IL12A;IL12B;MAPK10;NRAS;CCL17;BCL10;4930544G11RIK;IKBKB;IKBKG;NFATC3;RRAS2;IL1B;MAPK1;CYLD;NFKB1;CLEC4N;EGR2;MAP3K14;MAPK14;CASP1;CALM3;MALT1;FCER1G;STAT2;CLEC4E;CLEC4D;PTPN11;CALML4;IRF1;ITPR2;PLCG2;CARD9;TNF;NLRP3;PRKCD;MAPKAPK2;IKBKE;CLEC7A;CCL22;IL23A;IL10;MDM2;IRF9;PIK3CD;NFATC1;SYK;CASP8;MAPK11;MAPK13;NFATC2;STAT1;PIK3CB;PTGS2;NFKBIA;CALM2;LSP1;PLK3;MRAS;KSR1;BCL3;ITPR1;AKT3,CALML4;IRF1;ITPR2;PLCG2;CARD9;TNF;NLRP3;PRKCD;MAPKAPK2;IKBKE;CLEC7A;CCL22;IL23A;IL10;MDM2;IRF9;PIK3CD;NFATC1;SYK;CASP8;MAPK11;MAPK13;NFATC2;STAT1;PIK3CB;PTGS2;NFKBIA;CALM2;LSP1;PLK3;MRAS;KSR1;BCL3;ITPR1;AKT3
JAK-STAT signaling pathway,-0.6065174169032893,-1.9480861190517584,0.0,0.0025792038992688868,164,127,IL2RB;PDGFB;IFNLR1;OSMR;LEPR;CNTF;LIF;STAT6;IL13RA2;PIK3R1;GRB2;RAF1;STAT5B;PIAS4;PIK3R3;AKT2;IL7;IL21;PDGFA;IL11;JAK1;AKT1;EP300;PIAS2;IL12RB2;CREBBP;HRAS;GHR;EGFR;MTOR;IL17D;GFAP;STAT3;PIK3CA;CNTFR;PIK3R2;SOCS5;CCND3;PTPN2;IL6;STAM;SOCS2;IL11RA2;PIAS3;PDGFRA;TSLP;LIFR;AOX3;IFNA13;IL22RA2;IFNAB;IL19;MYC;AOX1;CTF1;IL6ST;STAT4;GH;IL12A;IFNK;IL12B;IL13;CCND2;GM13305;IFNB1;IL7R;IL9R;IL21R;CCND1;IL27RA;SOCS6;EGF;AOX2;STAM2;STAT5A;IL20RB;BCL2;SOCS7;IL2RA;CSF2;IFNGR2;STAT2;IL10RB;PTPN11;SOCS1;SOS1;IL12RB1;IL6RA;IL4;CSF2RA;PTPN6;MCL1;IL15;CISH;SOCS4;TYK2;IL23A;SOS2;IL10;IRF9;IFNAR1;PIK3CD;CSF3;CRLF2;CSF3R;IFNAR2;JAK2;CDKN1A;IFNGR1;PIAS1;IL2RG;IL15RA;IL4RA;STAT1;CSF2RB2;PIK3CB;JAK3;PIM1;IL11RA1;OSM;EPOR;IL10RA;CSF2RB;IL13RA1;SOCS3;BCL2L1;AKT3,SOCS1;SOS1;IL12RB1;IL6RA;IL4;CSF2RA;PTPN6;MCL1;IL15;CISH;SOCS4;TYK2;IL23A;SOS2;IL10;IRF9;IFNAR1;PIK3CD;CSF3;CRLF2;CSF3R;IFNAR2;JAK2;CDKN1A;IFNGR1;PIAS1;IL2RG;IL15RA;IL4RA;STAT1;CSF2RB2;PIK3CB;JAK3;PIM1;IL11RA1;OSM;EPOR;IL10RA;CSF2RB;IL13RA1;SOCS3;BCL2L1;AKT3
NF-kappa B signaling pathway,-0.6142333314742519,-1.9516580508671026,0.0,0.0029476615991644423,102,88,GADD45B;VCAM1;RELB;PLCG1;LTBR;CSNK2B;PIAS4;NFKB2;RELA;UBE2I;TRAF2;IRAK1;CARD10;TAB2;PRKCB;ERC1;CSNK2A1;PRKCQ;CSNK2A2;CXCL12;CHUK;BCL10;LAT;IKBKB;LY96;IKBKG;LCK;IL1B;RIPK1;NFKB1;TRAF3;BTK;IRAK4;MAP3K14;BCL2A1A;TICAM1;MAP3K7;LTB;MYD88;TNFAIP3;MALT1;TAB3;BCL2;TNFRSF13C;TRADD;LTA;CD14;ZAP70;TIRAP;TAB1;CXCL2;PARP1;BCL2A1B;CARD11;PLCG2;PIDD1;TRAF1;CCL4;TNF;ICAM1;TNFRSF11A;IL1R1;TNFRSF1A;XIAP;ATM;TRIM25;TICAM2;TNFSF14;BIRC2;TLR4;PLAU;SYK;TRAF6;TNFSF13B;LYN;CD40;BIRC3;BCL2A1D;CFLAR;DDX58;PTGS2;BLNK;GM11787;TRAF5;LBP;NFKBIA;CARD14;BCL2L1,IRAK4;MAP3K14;BCL2A1A;TICAM1;MAP3K7;LTB;MYD88;TNFAIP3;MALT1;TAB3;BCL2;TNFRSF13C;TRADD;LTA;CD14;ZAP70;TIRAP;TAB1;CXCL2;PARP1;BCL2A1B;CARD11;PLCG2;PIDD1;TRAF1;CCL4;TNF;ICAM1;TNFRSF11A;IL1R1;TNFRSF1A;XIAP;ATM;TRIM25;TICAM2;TNFSF14;BIRC2;TLR4;PLAU;SYK;TRAF6;TNFSF13B;LYN;CD40;BIRC3;BCL2A1D;CFLAR;DDX58;PTGS2;BLNK;GM11787;TRAF5;LBP;NFKBIA;CARD14;BCL2L1
Homologous recombination,-0.6984358265178211,-1.973375887689653,0.0,0.0034389385323585157,41,40,MUS81;RBBP8;RPA3;BABAM2;TOP3A;SSBP1;SEM1;POLD4;TOP3B;RAD50;RAD51D;UIMC1;NBN;XRCC3;SYCP3;BABAM1;XRCC2;POLD3;ABRAXAS1;POLD2;RPA1;RPA2;ATM;MRE11A;BLM;TOPBP1;RAD54B;BRCA2;EME1;BRIP1;POLD1;PALB2;RAD54L;BARD1;RAD51C;RAD51;BRCA1;RAD52;BRCC3;RAD51B,SYCP3;BABAM1;XRCC2;POLD3;ABRAXAS1;POLD2;RPA1;RPA2;ATM;MRE11A;BLM;TOPBP1;RAD54B;BRCA2;EME1;BRIP1;POLD1;PALB2;RAD54L;BARD1;RAD51C;RAD51;BRCA1;RAD52;BRCC3;RAD51B
Mismatch repair,-0.7504651678042525,-1.9075224384802283,0.01282051282051282,0.003968005998875211,22,22,RPA3;RFC3;SSBP1;POLD4;MSH2;MLH1;RFC1;PMS2;POLD3;PCNA;RFC5;POLD2;EXO1;RPA1;RPA2;MLH3;MSH6;RFC2;MSH3;LIG1;POLD1;RFC4,RFC1;PMS2;POLD3;PCNA;RFC5;POLD2;EXO1;RPA1;RPA2;MLH3;MSH6;RFC2;MSH3;LIG1;POLD1;RFC4
