Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	IL-17 signaling pathway	7/93	4.124241764738496e-05	0.0056914536353391	0	0	8.314134233040125	83.93985902496969	CXCL6;CXCL10;CSF3;CSF2;MMP1;LCN2;MMP9
KEGG_2019_Human	Cytokine-cytokine receptor interaction	10/294	0.0007825781456104102	0.0539978920471183	0	0	3.616753150481838	25.87033427728741	IL1A;CXCL10;CXCL6;CXCL11;CSF3;CSF2;CCL8;IL34;IL24;INHBE
KEGG_2019_Human	Primary bile acid biosynthesis	2/17	0.0122596808748648	0.3035073310214985	0	0	13.323232323232324	58.64139939765107	CH25H;CYP7B1
KEGG_2019_Human	Chemokine signaling pathway	6/190	0.0123000857894681	0.3035073310214985	0	0	3.2971761541909457	14.501472143446618	VAV3;CXCL10;CXCL6;HCK;CXCL11;CCL8
KEGG_2019_Human	Signaling pathways regulating pluripotency of stem cells	5/139	0.013015147785499	0.3035073310214985	0	0	3.7631075392269424	16.33806343072104	WNT10A;ID1;ID3;WNT7A;INHBE
KEGG_2019_Human	Rheumatoid arthritis	4/91	0.0131959709139781	0.3035073310214985	0	0	4.62420830401126	20.012850913677784	CXCL6;IL1A;CSF2;MMP1
KEGG_2019_Human	Hepatitis C	5/155	0.0199263415207939	0.3928335899813664	0	0	3.358974358974359	13.152778650631731	CXCL10;RSAD2;OAS1;PPP2R2B;CLDN1
KEGG_2019_Human	Leukocyte transendothelial migration	4/112	0.0261262456633504	0.4506777376927957	0	0	3.7210884353741496	13.562678532314376	VAV3;CYBB;CLDN1;MMP9
KEGG_2019_Human	Alanine, aspartate and glutamate metabolism	2/35	0.0477171520360592	0.5929953945035423	0	0	6.05050505050505	18.408446001894514	IL4I1;RIMKLA
KEGG_2019_Human	Phenylalanine, tyrosine and tryptophan biosynthesis	1/5	0.049014519870416	0.5929953945035423	0	0	24.86934673366834	74.99696447567176	IL4I1
KEGG_2019_Human	Tyrosine metabolism	2/36	0.0501995008461569	0.5929953945035423	0	0	5.872251931075461	17.568310863627904	IL4I1;ADH1B
KEGG_2019_Human	Ferroptosis	2/40	0.0605735018773766	0.5929953945035423	0	0	5.253056884635832	14.729034349424168	CYBB;SLC39A8
