Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Mouse	Complement and coagulation cascades	12/88	2.810917374979795e-08	5.678053097459186e-06	0	0	9.515951417004048	165.45546353298622	THBD;C1S2;C1S1;SERPINB2;F10;SERPINE1;BDKRB2;BDKRB1;CLU;F3;CFB;F2RL2
KEGG_2019_Mouse	Cytokine-cytokine receptor interaction	20/292	1.3131143606193796e-07	1.3262455042255732e-05	0	0	4.497819632584895	71.27107338841569	IL10;CCL24;IL33;CSF2;TNFSF15;IL34;TNFRSF9;LIF;IFNLR1;PPBP;CXCL3;TNFRSF1B;EPOR;IL1A;CXCL11;IL1B;IL2RA;CXCR2;ACKR3;PF4
KEGG_2019_Mouse	IL-17 signaling pathway	7/91	0.0008738452389988273	0.0588389127592543	0	0	4.944191919191919	34.82000195473013	CSF2;IL1B;LCN2;CXCL3;MMP9;S100A9;S100A8
KEGG_2019_Mouse	AGE-RAGE signaling pathway in diabetic complications	7/101	0.0016100590218033	0.0813079806010681	0	0	4.415957446808511	28.40116161194061	THBD;IL1A;COL1A2;IL1B;SERPINE1;FN1;F3
KEGG_2019_Mouse	Amoebiasis	7/106	0.0021245452691657	0.0858316288742947	0	0	4.191857973676155	25.797521822071253	IL10;CSF2;COL1A2;LAMC3;ARG1;IL1B;FN1
KEGG_2019_Mouse	Inflammatory bowel disease (IBD)	5/59	0.0031356959743693	0.1055684311371016	0	0	5.468819723337796	31.52722139913545	IL10;IL1A;IL1B;RORC;H2-OB
KEGG_2019_Mouse	Hematopoietic cell lineage	6/94	0.0051497266139904	0.1217546079093552	0	0	4.0322026915682505	21.244916518018645	IL1A;CSF2;IL1B;IL2RA;H2-OB;EPOR
KEGG_2019_Mouse	Staphylococcus aureus infection	6/95	0.0054209372420195	0.1217546079093552	0	0	3.986693370447062	20.80051906159996	IL10;C1S2;FCGR3;C1S1;H2-OB;CFB
KEGG_2019_Mouse	Leishmaniasis	5/67	0.0054247102533871	0.1217546079093552	0	0	4.761222308589195	24.8383006909515	IL10;IL1A;FCGR3;IL1B;H2-OB
KEGG_2019_Mouse	Pertussis	5/76	0.0091848499780192	0.15653888853458	0	0	4.155778041744442	19.491429730112507	IL10;IL1A;C1S2;C1S1;IL1B
KEGG_2019_Mouse	Pathways in cancer	17/535	0.0096472628430115	0.15653888853458	0	0	1.963471283783784	9.112629361648532	EGLN3;LAMC3;NOTCH4;ADCY4;MGST1;FN1;GSTT1;ETS1;MMP9;PGF;EPOR;DLL4;MECOM;IL2RA;BDKRB2;BDKRB1;WNT3
KEGG_2019_Mouse	Salmonella infection	5/78	0.0102152991015168	0.15653888853458	0	0	4.041508499752434	18.525744597817763	IL1A;CSF2;IL1B;LBP;CXCL3
KEGG_2019_Mouse	Fluid shear stress and atherosclerosis	7/143	0.0107926470710966	0.15653888853458	0	0	3.045655080213904	13.793437455929537	THBD;IL1A;IL1B;MGST1;GSTT1;MMP9;ASS1
KEGG_2019_Mouse	TNF signaling pathway	6/110	0.0108492298984362	0.15653888853458	0	0	3.409075063908901	15.421500521597029	CSF2;IL1B;LIF;CXCL3;TNFRSF1B;MMP9
KEGG_2019_Mouse	JAK-STAT signaling pathway	7/164	0.0213851977375461	0.2705989576588109	0	0	2.635437174290677	10.13340428599487	IL10;CSF2;CISH;IL2RA;LIF;IFNLR1;EPOR
KEGG_2019_Mouse	Osteoclast differentiation	6/128	0.0214335808046582	0.2705989576588109	0	0	2.9034223168738547	11.157260799023735	PIRA1;LILRA6;IL1A;FCGR3;PIRA2;IL1B
KEGG_2019_Mouse	Graft-versus-host disease	4/64	0.0228071975386382	0.2710031707532307	0	0	3.9245245245245246	14.83736789173076	IL1A;IL1B;PRF1;H2-OB
KEGG_2019_Mouse	Metabolism of xenobiotics by cytochrome P450	4/66	0.0252095877334771	0.2829075956756884	0	0	3.7975394749588296	13.97696134817262	CBR2;ALDH1A3;MGST1;GSTT1
KEGG_2019_Mouse	Type I diabetes mellitus	4/69	0.0290890516018164	0.309262548608785	0	0	3.6217140217140216	12.811427310465016	IL1A;IL1B;PRF1;H2-OB
KEGG_2019_Mouse	Tuberculosis	7/178	0.0315354122135675	0.3134391838459954	0	0	2.417933723196881	8.357936501281376	IL10;IL1A;FCGR3;SPHK1;IL1B;H2-OB;LBP
KEGG_2019_Mouse	Nitrogen metabolism	2/17	0.0325852616869599	0.3134391838459954	0	0	7.820099502487563	26.77520105880929	CAR5A;CAR4
KEGG_2019_Mouse	Glycosphingolipid biosynthesis	3/45	0.0399956907604748	0.349069133391734	0	0	4.196107784431137	13.507201981036255	GCNT2;FUT1;GBGT1
KEGG_2019_Mouse	Arginine biosynthesis	2/19	0.0400808138066924	0.349069133391734	0	0	6.899385425812116	22.194339875592345	ARG1;ASS1
