Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Mouse	Phagosome	8/180	6.848873515118275e-05	0.0066842006805968	0	0	6.400065051227842	61.369207935928905	C3;H2-T24;COLEC11;C1RA;H2-T22;H2-T10;H2-M3;H2-OB
KEGG_2019_Mouse	Allograft rejection	5/63	0.00011340386256683892	0.0066842006805968	0	0	11.6857581483231	106.15991385166473	H2-T24;H2-T22;H2-T10;H2-M3;H2-OB
KEGG_2019_Mouse	Graft-versus-host disease	5/64	0.00012227196366945543	0.0066842006805968	0	0	11.48711400046436	103.49042865798148	H2-T24;H2-T22;H2-T10;H2-M3;H2-OB
KEGG_2019_Mouse	Type I diabetes mellitus	5/69	0.00017485773780486272	0.0071691672499993	0	0	10.587007705479452	91.59389779193565	H2-T24;H2-T22;H2-T10;H2-M3;H2-OB
KEGG_2019_Mouse	Autoimmune thyroid disease	5/78	0.000311072295660284	0.0102031712976573	0	0	9.277537999624696	74.92062090925324	H2-T24;H2-T22;H2-T10;H2-M3;H2-OB
KEGG_2019_Mouse	Viral myocarditis	5/87	0.0005156680846181046	0.0140949276462281	0	0	8.255512863347812	62.49462241813615	H2-T24;H2-T22;H2-T10;H2-M3;H2-OB
KEGG_2019_Mouse	Antigen processing and presentation	5/90	0.0006023542670318447	0.0141122999704603	0	0	7.9629331184528604	59.042479916479934	H2-T24;H2-T22;H2-T10;H2-M3;H2-OB
KEGG_2019_Mouse	Rap1 signaling pathway	7/209	0.001067387492917	0.0218814436048002	0	0	4.728032178217822	32.351755028600564	PRKCG;EFNA1;ADORA2A;ADORA2B;LPAR2;RASGRP2;RAPGEF3
KEGG_2019_Mouse	Kaposi sarcoma-associated herpesvirus infection	6/216	0.0060332378488755	0.1099390008017315	0	0	3.8697536945812807	19.776265796580585	C3;H2-T24;HCK;H2-T22;H2-T10;H2-M3
KEGG_2019_Mouse	Epstein-Barr virus infection	6/229	0.0079469019917943	0.1303291926654269	0	0	3.641750425235813	17.60776538965306	H2-T24;ENTPD1;H2-T22;H2-T10;H2-M3;H2-OB
